mlb_id,mlb_name,mlb_pos,mlb_team,bats,throws,birth_year,bp_id,bref_id,bref_name,cbs_id,cbs_name,cbs_position,davenport_id,espn_id,espn_name,espn_pos,fg_id,fg_name,lahman_id,nfbc_id,nfbc_name,nfbc_pos,retrosheet_id,retrosheet_name,debut,yahoo_id,yahoo_name,yahoo_pos,mlb_depth
572831,Josh Edgin,P,NYM,R,L,1986,66639,edginjo01,Josh Edgin,1953528,Josh Edgin,RP,EDGIN19861217A,32198,Josh Edgin,RP,10796,Josh Edgin,edginjo01,9235,Josh Edgin,P,edgij001,Josh Edgin,7/13/2012,9235,Josh Edgin,RP,
451661,Josh Fields,P,HOU,R,R,1985,59166,fieldjo03,Josh Fields,1663430,Josh Fields,RP,FIELDS19850819A,30213,Josh Fields,RP,5070,Josh Fields,fieldjo03,9357,Josh Fields,P,fielj002,Josh Fields,4/2/2013,9357,Josh Fields,RP,RP8
285078,Josh Hamilton,LF,TEX,L,L,1981,31647,hamiljo03,Josh Hamilton,174916,Josh Hamilton,LF,HAMILTON19810521A,4652,Josh Hamilton,LF,1875,Josh Hamilton,hamiljo03,6679,Josh Hamilton,LF,hamij003,Josh Hamilton,4/2/2007,6679,Josh Hamilton,LF/RF,
543281,Josh Harrison,3B,PIT,R,R,1987,57951,harrijo05,Josh Harrison,1670494,Josh Harrison,3B,HARRISON19870708A,30934,Josh Harrison,3B,8202,Josh Harrison,harrijo05,8950,Josh Harrison,3B,harrj002,Josh Harrison,5/31/2011,8950,Josh Harrison,3B/RF,3B1
435178,Josh Johnson,P,SD,L,R,1984,45545,johnsjo09,Josh Johnson,546234,Josh Johnson,SP,JOHNSON19840131A,6435,Josh Johnson,SP,4567,Josh Johnson,johnsjo09,7669,Josh Johnson,P,johnj009,Josh Johnson,9/10/2005,7669,Josh Johnson,SP,
448337,Josh Kinney,P,SEA,R,R,1979,37983,kinnejo01,Josh Kinney,1113312,Josh Kinney,RP,KINNEY19790331A,,,,3638,Josh Kinney,kinnejo01,7806,Josh Kinney,P,kinnj001,Josh Kinney,7/3/2006,7806,Josh Kinney,RP,
458676,Josh Lindblom,P,PIT,R,R,1987,58386,lindbjo01,Josh Lindblom,1667061,Josh Lindblom,SP,LINDBLOM19870615A,30585,Josh Lindblom,SP,7882,Josh Lindblom,lindbjo01,8428,Josh Lindblom,P,lindj004,Josh Lindblom,6/1/2011,8428,Josh Lindblom,SP/RP,
518961,Josh Lueke,P,TB,R,R,1984,55992,luekejo01,Josh Lueke,1757683,Josh Lueke,RP,LUEKE19841205A,30980,Josh Lueke,RP,5722,Josh Lueke,luekejo01,8896,Josh Lueke,P,luekj001,Josh Lueke,4/3/2011,8896,Josh Lueke,RP,
489189,Josh Outman,P,ATL,L,L,1984,46496,outmajo01,Josh Outman,1447030,Josh Outman,RP,OUTMAN19840914A,29251,Josh Outman,RP,4004,Josh Outman,outmajo01,8371,Josh Outman,P,outmj001,Josh Outman,9/2/2008,8371,Josh Outman,RP,
572033,Josh Phegley,C,OAK,R,R,1988,60649,phegljo01,Josh Phegley,1732763,Josh Phegley,C,PHEGLEY19880212A,30600,Josh Phegley,C,9308,Josh Phegley,phegljo01,9452,Josh Phegley,C,phegj001,Josh Phegley,7/5/2013,9452,Josh Phegley,C,C2
